location,year,week,total_specimens,total_A,total_B,percent_positive,percent_A,percent_B
Hawaii,2014,11,439,93,12,23.92,21.18,2.73
Idaho,2014,11,X,0,X,X,X,X
Illinois,2014,11,95,4,2,6.32,4.21,2.11
Indiana,2014,11,103,7,0,6.8,6.8,0
Iowa,2014,11,31,10,3,41.94,32.26,9.68
Kansas,2014,11,X,0,X,X,X,X
Kentucky,2014,11,93,4,0,4.3,4.3,0
Louisiana,2014,11,70,3,8,15.71,4.29,11.43
Maine,2014,11,37,7,4,29.73,18.92,10.81
Maryland,2014,11,134,27,8,26.12,20.15,5.97
Massachusetts,2014,11,77,8,2,12.99,10.39,2.6
Michigan,2014,11,X,0,X,X,X,X
Minnesota,2014,11,237,22,6,11.81,9.28,2.53
Mississippi,2014,11,54,1,4,9.26,1.85,7.41
Missouri,2014,11,383,5,0,1.31,1.31,0
Montana,2014,11,76,8,0,10.53,10.53,0
Nebraska,2014,11,72,7,0,9.72,9.72,0
Nevada,2014,11,28,1,7,28.57,3.57,25
New Hampshire,2014,11,47,10,4,29.79,21.28,8.51
New Jersey,2014,11,X,0,X,X,X,X
New Mexico,2014,11,48,4,1,10.42,8.33,2.08
New York,2014,11,1018,73,100,16.99,7.17,9.82
North Carolina,2014,11,16,3,1,25,18.75,6.25
North Dakota,2014,11,70,1,0,1.43,1.43,0
Ohio,2014,11,93,5,4,9.68,5.38,4.3
Oklahoma,2014,11,138,8,0,5.8,5.8,0
Oregon,2014,11,11,1,1,18.18,9.09,9.09
Pennsylvania,2014,11,204,27,10,18.14,13.24,4.9
Rhode Island,2014,11,X,0,X,X,X,X
South Carolina,2014,11,72,1,4,6.94,1.39,5.56
South Dakota,2014,11,139,7,0,5.04,5.04,0
Tennessee,2014,11,81,2,4,7.41,2.47,4.94
Texas,2014,11,806,16,58,9.18,1.99,7.2
Utah,2014,11,490,12,7,3.88,2.45,1.43
Vermont,2014,11,X,0,X,X,X,X
Virginia,2014,11,135,7,3,7.41,5.19,2.22
Washington,2014,11,321,15,3,5.61,4.67,0.93
West Virginia,2014,11,304,20,1,6.91,6.58,0.33
Wisconsin,2014,11,82,7,2,10.98,8.54,2.44
Wyoming,2014,11,17,2,0,11.76,11.76,0
Puerto Rico,2014,11,11,5,2,63.64,45.45,18.18
Virgin Islands,2014,11,0,0,0,0,X,X
New York City,2014,11,X,0,X,X,X,X
Alabama,2014,12,86,1,3,4.65,1.16,3.49
Alaska,2014,12,57,1,3,7.02,1.75,5.26
Arizona,2014,12,107,5,26,28.97,4.67,24.3
Arkansas,2014,12,43,0,0,0,0,0
California,2014,12,431,3,7,2.32,0.7,1.62
Colorado,2014,12,359,7,6,3.62,1.95,1.67
Connecticut,2014,12,355,73,19,25.92,20.56,5.35
Delaware,2014,12,165,33,14,28.48,20,8.48
District of Columbia,2014,12,X,0,X,X,X,X
Florida,2014,12,551,66,15,14.7,11.98,2.72
Georgia,2014,12,447,6,17,5.15,1.34,3.8
Hawaii,2014,12,351,50,16,18.8,14.25,4.56
Idaho,2014,12,X,0,X,X,X,X
Illinois,2014,12,96,7,1,8.33,7.29,1.04
Indiana,2014,12,92,5,0,5.43,5.43,0
Iowa,2014,12,18,1,0,5.56,5.56,0
Kansas,2014,12,X,0,X,X,X,X
Kentucky,2014,12,94,4,3,7.45,4.26,3.19
Louisiana,2014,12,83,2,13,18.07,2.41,15.66
Maine,2014,12,32,4,6,31.25,12.5,18.75
Maryland,2014,12,115,28,18,40,24.35,15.65
Massachusetts,2014,12,53,8,1,16.98,15.09,1.89
Michigan,2014,12,X,0,X,X,X,X
Minnesota,2014,12,249,16,5,8.43,6.43,2.01
Mississippi,2014,12,37,1,0,2.7,2.7,0
Missouri,2014,12,294,4,0,1.36,1.36,0
Montana,2014,12,74,5,0,6.76,6.76,0
Nebraska,2014,12,41,3,0,7.32,7.32,0
Nevada,2014,12,22,1,1,9.09,4.55,4.55
New Hampshire,2014,12,35,11,1,34.29,31.43,2.86
New Jersey,2014,12,X,0,X,X,X,X
New Mexico,2014,12,32,4,0,12.5,12.5,0
New York,2014,12,1035,69,126,18.84,6.67,12.17
North Carolina,2014,12,X,0,X,X,X,X
North Dakota,2014,12,48,0,1,2.08,0,2.08
Ohio,2014,12,72,4,4,11.11,5.56,5.56
Oklahoma,2014,12,151,11,4,9.93,7.28,2.65
Oregon,2014,12,20,0,0,0,0,0
Pennsylvania,2014,12,200,21,20,20.5,10.5,10
Rhode Island,2014,12,X,0,X,X,X,X
South Carolina,2014,12,83,4,7,13.25,4.82,8.43
South Dakota,2014,12,106,5,5,9.43,4.72,4.72
Tennessee,2014,12,81,0,0,0,0,0
Texas,2014,12,745,14,62,10.2,1.88,8.32
Utah,2014,12,460,4,15,4.13,0.87,3.26
Vermont,2014,12,X,0,X,X,X,X
Virginia,2014,12,125,8,3,8.8,6.4,2.4
Washington,2014,12,255,5,4,3.53,1.96,1.57
West Virginia,2014,12,304,14,3,5.59,4.61,0.99
Wisconsin,2014,12,75,8,2,13.33,10.67,2.67
Wyoming,2014,12,23,0,2,8.7,0,8.7
Puerto Rico,2014,12,22,14,4,81.82,63.64,18.18
Virgin Islands,2014,12,0,0,0,0,X,X
New York City,2014,12,X,0,X,X,X,X
Alabama,2014,13,64,1,1,3.13,1.56,1.56
Alaska,2014,13,51,0,2,3.92,0,3.92
Arizona,2014,13,91,4,10,15.38,4.4,10.99
Arkansas,2014,13,50,0,1,2,0,2
California,2014,13,374,2,13,4.01,0.53,3.48
Colorado,2014,13,270,11,5,5.93,4.07,1.85
Connecticut,2014,13,368,76,19,25.82,20.65,5.16
Delaware,2014,13,175,33,18,29.14,18.86,10.29
District of Columbia,2014,13,X,0,X,X,X,X
Florida,2014,13,548,62,8,12.77,11.31,1.46
Georgia,2014,13,457,6,18,5.25,1.31,3.94
Hawaii,2014,13,361,41,9,13.85,11.36,2.49
Idaho,2014,13,X,0,X,X,X,X
Illinois,2014,13,83,2,3,6.02,2.41,3.61
Indiana,2014,13,75,7,0,9.33,9.33,0
Iowa,2014,13,19,4,3,36.84,21.05,15.79
Kansas,2014,13,X,0,X,X,X,X
Kentucky,2014,13,91,0,3,3.3,0,3.3
Louisiana,2014,13,57,1,17,31.58,1.75,29.82
Maine,2014,13,14,2,5,50,14.29,35.71
Maryland,2014,13,120,18,19,30.83,15,15.83
Massachusetts,2014,13,76,8,5,17.11,10.53,6.58
Michigan,2014,13,X,0,X,X,X,X
Minnesota,2014,13,212,8,6,6.6,3.77,2.83
Mississippi,2014,13,37,3,0,8.11,8.11,0
Missouri,2014,13,322,3,1,1.24,0.93,0.31
Montana,2014,13,68,3,1,5.88,4.41,1.47
Nebraska,2014,13,39,3,0,7.69,7.69,0
Nevada,2014,13,18,1,1,11.11,5.56,5.56
New Hampshire,2014,13,54,7,8,27.78,12.96,14.81
New Jersey,2014,13,X,0,X,X,X,X
New Mexico,2014,13,46,7,1,17.39,15.22,2.17
New York,2014,13,1169,81,170,21.47,6.93,14.54
North Carolina,2014,13,X,0,X,X,X,X
North Dakota,2014,13,41,2,1,7.32,4.88,2.44
Ohio,2014,13,64,4,4,12.5,6.25,6.25
Oklahoma,2014,13,114,3,1,3.51,2.63,0.88
Oregon,2014,13,13,1,0,7.69,7.69,0
Pennsylvania,2014,13,196,19,32,26.02,9.69,16.33
Rhode Island,2014,13,X,0,X,X,X,X
South Carolina,2014,13,65,2,5,10.77,3.08,7.69
South Dakota,2014,13,107,4,2,5.61,3.74,1.87
Tennessee,2014,13,74,3,2,6.76,4.05,2.7
Texas,2014,13,570,12,55,11.75,2.11,9.65
Utah,2014,13,466,23,16,8.37,4.94,3.43
Vermont,2014,13,X,0,X,X,X,X
Virginia,2014,13,112,6,7,11.61,5.36,6.25
Washington,2014,13,267,3,11,5.24,1.12,4.12
West Virginia,2014,13,272,8,1,3.31,2.94,0.37
Wisconsin,2014,13,72,5,5,13.89,6.94,6.94
Wyoming,2014,13,16,0,0,0,0,0
Puerto Rico,2014,13,13,4,4,61.54,30.77,30.77
Virgin Islands,2014,13,0,0,0,0,X,X
New York City,2014,13,X,0,X,X,X,X
Alabama,2014,14,66,0,1,1.52,0,1.52
Alaska,2014,14,62,1,1,3.23,1.61,1.61
Arizona,2014,14,88,1,14,17.05,1.14,15.91
Arkansas,2014,14,25,0,0,0,0,0
California,2014,14,349,1,3,1.15,0.29,0.86
Colorado,2014,14,217,4,6,4.61,1.84,2.76
Connecticut,2014,14,358,57,41,27.37,15.92,11.45
Delaware,2014,14,130,11,17,21.54,8.46,13.08
District of Columbia,2014,14,X,0,X,X,X,X
Florida,2014,14,509,50,18,13.36,9.82,3.54
Georgia,2014,14,422,4,9,3.08,0.95,2.13
Hawaii,2014,14,273,22,22,16.12,8.06,8.06
Idaho,2014,14,X,0,X,X,X,X
Illinois,2014,14,117,1,5,5.13,0.85,4.27
Indiana,2014,14,52,1,0,1.92,1.92,0
Iowa,2014,14,20,2,3,25,10,15
Kansas,2014,14,X,0,X,X,X,X
Kentucky,2014,14,80,2,1,3.75,2.5,1.25
Louisiana,2014,14,68,4,13,25,5.88,19.12
Maine,2014,14,27,1,5,22.22,3.7,18.52
Maryland,2014,14,95,12,15,28.42,12.63,15.79
Massachusetts,2014,14,74,9,5,18.92,12.16,6.76
Michigan,2014,14,10,7,1,80,70,10
Minnesota,2014,14,217,14,5,8.76,6.45,2.3
Mississippi,2014,14,29,4,1,17.24,13.79,3.45
Missouri,2014,14,322,2,1,0.93,0.62,0.31
Montana,2014,14,79,3,0,3.8,3.8,0
Nebraska,2014,14,41,9,0,21.95,21.95,0
Nevada,2014,14,20,2,8,50,10,40
New Hampshire,2014,14,49,6,7,26.53,12.24,14.29
New Jersey,2014,14,X,0,X,X,X,X
New Mexico,2014,14,74,19,0,25.68,25.68,0
New York,2014,14,1153,100,184,24.63,8.67,15.96
North Carolina,2014,14,10,2,3,50,20,30
North Dakota,2014,14,28,2,5,25,7.14,17.86
Ohio,2014,14,44,3,4,15.91,6.82,9.09
Oklahoma,2014,14,135,15,9,17.78,11.11,6.67
Oregon,2014,14,X,0,X,X,X,X
Pennsylvania,2014,14,214,38,41,36.92,17.76,19.16
Rhode Island,2014,14,X,0,X,X,X,X
South Carolina,2014,14,54,0,3,5.56,0,5.56
South Dakota,2014,14,101,9,3,11.88,8.91,2.97
Tennessee,2014,14,54,4,3,12.96,7.41,5.56
Texas,2014,14,660,3,63,10,0.45,9.55
Utah,2014,14,429,7,18,5.83,1.63,4.2
Vermont,2014,14,X,0,X,X,X,X
Virginia,2014,14,107,6,17,21.5,5.61,15.89
Washington,2014,14,257,5,12,6.61,1.95,4.67
West Virginia,2014,14,212,8,4,5.66,3.77,1.89
Wisconsin,2014,14,75,7,6,17.33,9.33,8
Wyoming,2014,14,X,0,X,X,X,X
Puerto Rico,2014,14,22,13,0,59.09,59.09,0
Virgin Islands,2014,14,0,0,0,0,X,X
New York City,2014,14,X,0,X,X,X,X
Alabama,2014,15,82,0,2,2.44,0,2.44
Alaska,2014,15,47,2,1,6.38,4.26,2.13
Arizona,2014,15,80,0,26,32.5,0,32.5
Arkansas,2014,15,34,2,0,5.88,5.88,0
California,2014,15,362,3,18,5.8,0.83,4.97
Colorado,2014,15,217,6,5,5.07,2.76,2.3
Connecticut,2014,15,401,69,32,25.19,17.21,7.98
Delaware,2014,15,152,17,46,41.45,11.18,30.26
District of Columbia,2014,15,X,0,X,X,X,X
Florida,2014,15,496,65,27,18.55,13.1,5.44
Georgia,2014,15,352,5,5,2.84,1.42,1.42
Hawaii,2014,15,254,11,18,11.42,4.33,7.09
Idaho,2014,15,X,0,X,X,X,X
Illinois,2014,15,97,3,10,13.4,3.09,10.31
Indiana,2014,15,71,0,0,0,0,0
Iowa,2014,15,13,1,4,38.46,7.69,30.77
Kansas,2014,15,X,0,X,X,X,X
Kentucky,2014,15,80,3,2,6.25,3.75,2.5
Louisiana,2014,15,43,0,7,16.28,0,16.28
Maine,2014,15,26,1,10,42.31,3.85,38.46
Maryland,2014,15,81,6,18,29.63,7.41,22.22
Massachusetts,2014,15,79,11,14,31.65,13.92,17.72
Michigan,2014,15,15,5,2,46.67,33.33,13.33
Minnesota,2014,15,176,9,15,13.64,5.11,8.52
Mississippi,2014,15,25,3,0,12,12,0
Missouri,2014,15,301,9,2,3.65,2.99,0.66
Montana,2014,15,57,0,0,0,0,0
Nebraska,2014,15,41,3,1,9.76,7.32,2.44
Nevada,2014,15,22,0,4,18.18,0,18.18
New Hampshire,2014,15,48,3,8,22.92,6.25,16.67
New Jersey,2014,15,X,0,X,X,X,X
New Mexico,2014,15,36,6,1,19.44,16.67,2.78
New York,2014,15,1172,89,174,22.44,7.59,14.85
North Carolina,2014,15,14,2,1,21.43,14.29,7.14
North Dakota,2014,15,16,0,3,18.75,0,18.75
Ohio,2014,15,40,1,3,10,2.5,7.5
Oklahoma,2014,15,108,7,2,8.33,6.48,1.85
Oregon,2014,15,13,0,1,7.69,0,7.69
Pennsylvania,2014,15,190,25,36,32.11,13.16,18.95
Rhode Island,2014,15,X,0,X,X,X,X
South Carolina,2014,15,55,2,3,9.09,3.64,5.45
South Dakota,2014,15,93,6,5,11.83,6.45,5.38
Tennessee,2014,15,38,1,2,7.89,2.63,5.26
Texas,2014,15,616,7,45,8.44,1.14,7.31
Utah,2014,15,424,8,20,6.6,1.89,4.72
Vermont,2014,15,X,0,X,X,X,X
Virginia,2014,15,89,8,14,24.72,8.99,15.73
Washington,2014,15,244,3,8,4.51,1.23,3.28
West Virginia,2014,15,215,2,4,2.79,0.93,1.86
Wisconsin,2014,15,57,1,4,8.77,1.75,7.02
Wyoming,2014,15,X,0,X,X,X,X
Puerto Rico,2014,15,10,4,0,40,40,0
Virgin Islands,2014,15,0,0,0,0,X,X
New York City,2014,15,X,0,X,X,X,X
Alabama,2014,16,64,0,0,0,0,0
Alaska,2014,16,71,5,2,9.86,7.04,2.82
Arizona,2014,16,78,6,34,51.28,7.69,43.59
Arkansas,2014,16,20,0,0,0,0,0
California,2014,16,327,2,7,2.75,0.61,2.14
Colorado,2014,16,201,6,5,5.47,2.99,2.49
Connecticut,2014,16,312,49,27,24.36,15.71,8.65
Delaware,2014,16,124,15,15,24.19,12.1,12.1
District of Columbia,2014,16,X,0,X,X,X,X
Florida,2014,16,515,60,33,18.06,11.65,6.41
Georgia,2014,16,299,3,12,5.02,1,4.01
Hawaii,2014,16,192,17,11,14.58,8.85,5.73
Idaho,2014,16,X,0,X,X,X,X
Illinois,2014,16,101,2,6,7.92,1.98,5.94
Indiana,2014,16,52,0,2,3.85,0,3.85
Iowa,2014,16,13,1,3,30.77,7.69,23.08
Kansas,2014,16,X,0,X,X,X,X
Kentucky,2014,16,57,0,1,1.75,0,1.75
Louisiana,2014,16,33,1,7,24.24,3.03,21.21
Maine,2014,16,25,0,6,24,0,24
Maryland,2014,16,81,9,20,35.8,11.11,24.69
Massachusetts,2014,16,69,11,5,23.19,15.94,7.25
Michigan,2014,16,X,0,X,X,X,X
Minnesota,2014,16,160,12,9,13.13,7.5,5.63
Mississippi,2014,16,25,2,0,8,8,0
Missouri,2014,16,307,5,3,2.61,1.63,0.98
Montana,2014,16,82,0,2,2.44,0,2.44
Nebraska,2014,16,44,3,0,6.82,6.82,0
Nevada,2014,16,27,0,6,22.22,0,22.22
New Hampshire,2014,16,61,11,11,36.07,18.03,18.03
New Jersey,2014,16,X,0,X,X,X,X
New Mexico,2014,16,31,11,0,35.48,35.48,0
New York,2014,16,1075,74,143,20.19,6.88,13.3
North Carolina,2014,16,X,0,X,X,X,X
North Dakota,2014,16,26,0,1,3.85,0,3.85
Ohio,2014,16,41,2,3,12.2,4.88,7.32
Oklahoma,2014,16,114,3,10,11.4,2.63,8.77
Oregon,2014,16,20,0,0,0,0,0
Pennsylvania,2014,16,206,25,32,27.67,12.14,15.53
Rhode Island,2014,16,X,0,X,X,X,X
South Carolina,2014,16,40,0,3,7.5,0,7.5
South Dakota,2014,16,63,2,1,4.76,3.17,1.59
Tennessee,2014,16,44,1,2,6.82,2.27,4.55
Texas,2014,16,603,6,28,5.64,1,4.64
Utah,2014,16,376,6,17,6.12,1.6,4.52
Vermont,2014,16,X,0,X,X,X,X
Virginia,2014,16,78,1,3,5.13,1.28,3.85
Washington,2014,16,250,2,11,5.2,0.8,4.4
West Virginia,2014,16,159,3,3,3.77,1.89,1.89
Wisconsin,2014,16,66,0,9,13.64,0,13.64
Wyoming,2014,16,X,0,X,X,X,X
Puerto Rico,2014,16,13,5,5,76.92,38.46,38.46
Virgin Islands,2014,16,0,0,0,0,X,X
New York City,2014,16,X,0,X,X,X,X
Alabama,2014,17,64,0,2,3.13,0,3.13
Alaska,2014,17,75,5,2,9.33,6.67,2.67
Arizona,2014,17,69,3,20,33.33,4.35,28.99
Arkansas,2014,17,19,0,0,0,0,0
California,2014,17,289,1,5,2.08,0.35,1.73
Colorado,2014,17,208,6,8,6.73,2.88,3.85
Connecticut,2014,17,320,24,37,19.06,7.5,11.56
Delaware,2014,17,116,11,19,25.86,9.48,16.38
District of Columbia,2014,17,X,0,X,X,X,X
Florida,2014,17,584,72,42,19.52,12.33,7.19
Georgia,2014,17,301,0,8,2.66,0,2.66
Hawaii,2014,17,201,6,14,9.95,2.99,6.97
Idaho,2014,17,X,0,X,X,X,X
Illinois,2014,17,98,1,14,15.31,1.02,14.29
Indiana,2014,17,68,12,6,26.47,17.65,8.82
Iowa,2014,17,X,0,X,X,X,X
Kansas,2014,17,X,0,X,X,X,X
Kentucky,2014,17,79,1,1,2.53,1.27,1.27
Louisiana,2014,17,22,0,2,9.09,0,9.09
Maine,2014,17,18,0,3,16.67,0,16.67
Maryland,2014,17,69,12,16,40.58,17.39,23.19
Massachusetts,2014,17,56,4,9,23.21,7.14,16.07
Michigan,2014,17,X,0,X,X,X,X
Minnesota,2014,17,191,14,13,14.14,7.33,6.81
Mississippi,2014,17,16,1,1,12.5,6.25,6.25
Missouri,2014,17,312,6,7,4.17,1.92,2.24
Montana,2014,17,71,1,0,1.41,1.41,0
Nebraska,2014,17,28,4,0,14.29,14.29,0
Nevada,2014,17,11,0,4,36.36,0,36.36
New Hampshire,2014,17,95,13,19,33.68,13.68,20
New Jersey,2014,17,X,0,X,X,X,X
New Mexico,2014,17,26,7,0,26.92,26.92,0
New York,2014,17,903,60,79,15.39,6.64,8.75
North Carolina,2014,17,15,2,0,13.33,13.33,0
North Dakota,2014,17,32,0,3,9.38,0,9.38
Ohio,2014,17,26,1,0,3.85,3.85,0
Oklahoma,2014,17,121,3,9,9.92,2.48,7.44
Oregon,2014,17,13,0,0,0,0,0
Pennsylvania,2014,17,156,20,23,27.56,12.82,14.74
Rhode Island,2014,17,X,0,X,X,X,X
South Carolina,2014,17,31,2,2,12.9,6.45,6.45
South Dakota,2014,17,103,6,8,13.59,5.83,7.77
Tennessee,2014,17,25,1,1,8,4,4
Texas,2014,17,497,2,28,6.04,0.4,5.63
Utah,2014,17,353,9,17,7.37,2.55,4.82
Vermont,2014,17,X,0,X,X,X,X
Virginia,2014,17,72,5,9,19.44,6.94,12.5
Washington,2014,17,191,2,5,3.66,1.05,2.62
West Virginia,2014,17,207,3,0,1.45,1.45,0
Wisconsin,2014,17,54,3,4,12.96,5.56,7.41
Wyoming,2014,17,X,0,X,X,X,X
Puerto Rico,2014,17,11,3,2,45.45,27.27,18.18
Virgin Islands,2014,17,0,0,0,0,X,X
New York City,2014,17,X,0,X,X,X,X
Alabama,2014,18,68,0,0,0,0,0
Alaska,2014,18,43,2,4,13.95,4.65,9.3
Arizona,2014,18,75,3,25,37.33,4,33.33
Arkansas,2014,18,21,0,0,0,0,0
California,2014,18,266,3,8,4.14,1.13,3.01
Colorado,2014,18,179,5,4,5.03,2.79,2.23
Connecticut,2014,18,309,14,47,19.74,4.53,15.21
Delaware,2014,18,114,14,18,28.07,12.28,15.79
District of Columbia,2014,18,X,0,X,X,X,X
Florida,2014,18,628,90,65,24.68,14.33,10.35
Georgia,2014,18,330,0,11,3.33,0,3.33
Hawaii,2014,18,169,10,25,20.71,5.92,14.79
Idaho,2014,18,X,0,X,X,X,X
Illinois,2014,18,74,2,9,14.86,2.7,12.16
Indiana,2014,18,68,3,1,5.88,4.41,1.47
Iowa,2014,18,11,2,1,27.27,18.18,9.09
Kansas,2014,18,X,0,X,X,X,X
Kentucky,2014,18,77,0,0,0,0,0
Louisiana,2014,18,16,1,3,25,6.25,18.75
Maine,2014,18,15,2,2,26.67,13.33,13.33
Maryland,2014,18,51,6,6,23.53,11.76,11.76
Massachusetts,2014,18,51,3,6,17.65,5.88,11.76
Michigan,2014,18,17,2,6,47.06,11.76,35.29
Minnesota,2014,18,170,8,12,11.76,4.71,7.06
Mississippi,2014,18,17,0,0,0,0,0
Missouri,2014,18,315,6,7,4.13,1.9,2.22
Montana,2014,18,62,1,0,1.61,1.61,0
Nebraska,2014,18,25,3,1,16,12,4
Nevada,2014,18,15,0,6,40,0,40
New Hampshire,2014,18,36,2,5,19.44,5.56,13.89
New Jersey,2014,18,X,0,X,X,X,X
New Mexico,2014,18,18,3,1,22.22,16.67,5.56
New York,2014,18,741,39,47,11.61,5.26,6.34
North Carolina,2014,18,X,0,X,X,X,X
North Dakota,2014,18,33,0,5,15.15,0,15.15
Ohio,2014,18,28,1,4,17.86,3.57,14.29
Oklahoma,2014,18,90,0,4,4.44,0,4.44
Oregon,2014,18,17,1,0,5.88,5.88,0
Pennsylvania,2014,18,136,22,20,30.88,16.18,14.71
Rhode Island,2014,18,X,0,X,X,X,X
South Carolina,2014,18,39,0,5,12.82,0,12.82
South Dakota,2014,18,60,4,6,16.67,6.67,10
Tennessee,2014,18,37,0,0,0,0,0
Texas,2014,18,545,3,29,5.87,0.55,5.32
Utah,2014,18,321,11,22,10.28,3.43,6.85
Vermont,2014,18,X,0,X,X,X,X
Virginia,2014,18,50,2,6,16,4,12
Washington,2014,18,159,0,5,3.14,0,3.14
West Virginia,2014,18,213,0,2,0.94,0,0.94
Wisconsin,2014,18,62,2,4,9.68,3.23,6.45
Wyoming,2014,18,X,0,X,X,X,X
Puerto Rico,2014,18,10,4,1,50,40,10
Virgin Islands,2014,18,0,0,0,0,X,X
New York City,2014,18,X,0,X,X,X,X
Alabama,2014,19,57,0,1,1.75,0,1.75
Alaska,2014,19,41,7,3,24.39,17.07,7.32
Arizona,2014,19,71,2,34,50.7,2.82,47.89
Arkansas,2014,19,34,0,0,0,0,0
California,2014,19,266,5,10,5.64,1.88,3.76
Colorado,2014,19,142,5,3,5.63,3.52,2.11
Connecticut,2014,19,187,2,15,9.09,1.07,8.02
Delaware,2014,19,88,7,10,19.32,7.95,11.36
District of Columbia,2014,19,X,0,X,X,X,X
Florida,2014,19,619,66,60,20.36,10.66,9.69
Georgia,2014,19,251,6,5,4.38,2.39,1.99
Hawaii,2014,19,183,8,13,11.48,4.37,7.1
Idaho,2014,19,X,0,X,X,X,X
Illinois,2014,19,99,0,10,10.1,0,10.1
Indiana,2014,19,57,1,1,3.51,1.75,1.75
Iowa,2014,19,13,4,1,38.46,30.77,7.69
Kansas,2014,19,X,0,X,X,X,X
Kentucky,2014,19,84,0,2,2.38,0,2.38
Louisiana,2014,19,17,0,2,11.76,0,11.76
Maine,2014,19,15,1,2,20,6.67,13.33
Maryland,2014,19,30,1,4,16.67,3.33,13.33
Massachusetts,2014,19,54,3,3,11.11,5.56,5.56
Michigan,2014,19,X,0,X,X,X,X
Minnesota,2014,19,175,7,15,12.57,4,8.57
Mississippi,2014,19,X,0,X,X,X,X
Missouri,2014,19,339,4,4,2.36,1.18,1.18
Montana,2014,19,57,2,0,3.51,3.51,0
Nebraska,2014,19,36,1,0,2.78,2.78,0
Nevada,2014,19,21,0,6,28.57,0,28.57
New Hampshire,2014,19,38,2,4,15.79,5.26,10.53
New Jersey,2014,19,X,0,X,X,X,X
New Mexico,2014,19,24,8,0,33.33,33.33,0
New York,2014,19,690,22,42,9.28,3.19,6.09
North Carolina,2014,19,X,0,X,X,X,X
North Dakota,2014,19,16,0,2,12.5,0,12.5
Ohio,2014,19,21,0,0,0,0,0
Oklahoma,2014,19,80,3,2,6.25,3.75,2.5
Oregon,2014,19,X,0,X,X,X,X
Pennsylvania,2014,19,123,18,13,25.2,14.63,10.57
Rhode Island,2014,19,X,0,X,X,X,X
South Carolina,2014,19,X,0,X,X,X,X
South Dakota,2014,19,38,1,5,15.79,2.63,13.16
Tennessee,2014,19,22,0,1,4.55,0,4.55
Texas,2014,19,508,4,18,4.33,0.79,3.54
Utah,2014,19,373,16,29,12.06,4.29,7.77
Vermont,2014,19,X,0,X,X,X,X
Virginia,2014,19,33,0,3,9.09,0,9.09
Washington,2014,19,188,3,5,4.26,1.6,2.66
West Virginia,2014,19,184,0,1,0.54,0,0.54
Wisconsin,2014,19,33,2,3,15.15,6.06,9.09
Wyoming,2014,19,X,0,X,X,X,X
Puerto Rico,2014,19,22,17,2,86.36,77.27,9.09
Virgin Islands,2014,19,0,0,0,0,X,X
New York City,2014,19,X,0,X,X,X,X
Alabama,2014,20,60,0,0,0,0,0
Alaska,2014,20,52,13,4,32.69,25,7.69
Arizona,2014,20,64,7,22,45.31,10.94,34.38
Arkansas,2014,20,22,0,0,0,0,0
California,2014,20,279,10,5,5.38,3.58,1.79
Colorado,2014,20,175,4,4,4.57,2.29,2.29
Connecticut,2014,20,204,2,11,6.37,0.98,5.39
Delaware,2014,20,67,2,7,13.43,2.99,10.45
District of Columbia,2014,20,X,0,X,X,X,X
Florida,2014,20,567,53,52,18.52,9.35,9.17
Georgia,2014,20,267,8,4,4.49,3,1.5
Hawaii,2014,20,237,23,32,23.21,9.7,13.5
Idaho,2014,20,X,0,X,X,X,X
Illinois,2014,20,85,2,5,8.24,2.35,5.88
Indiana,2014,20,42,0,3,7.14,0,7.14
Iowa,2014,20,X,0,X,X,X,X
Kansas,2014,20,X,0,X,X,X,X
Kentucky,2014,20,82,0,0,0,0,0
Louisiana,2014,20,22,0,6,27.27,0,27.27
Maine,2014,20,14,1,6,50,7.14,42.86
Maryland,2014,20,40,6,4,25,15,10
Massachusetts,2014,20,43,0,4,9.3,0,9.3
Michigan,2014,20,X,0,X,X,X,X
Minnesota,2014,20,158,8,9,10.76,5.06,5.7
Mississippi,2014,20,13,2,0,15.38,15.38,0
Missouri,2014,20,315,3,3,1.9,0.95,0.95
Montana,2014,20,60,0,3,5,0,5
Nebraska,2014,20,15,0,0,0,0,0
Nevada,2014,20,18,0,9,50,0,50
New Hampshire,2014,20,34,2,1,8.82,5.88,2.94
New Jersey,2014,20,X,0,X,X,X,X
New Mexico,2014,20,17,6,1,41.18,35.29,5.88
New York,2014,20,631,22,28,7.92,3.49,4.44
North Carolina,2014,20,X,0,X,X,X,X
North Dakota,2014,20,23,0,2,8.7,0,8.7
Ohio,2014,20,19,0,0,0,0,0
Oklahoma,2014,20,88,2,8,11.36,2.27,9.09
Oregon,2014,20,14,0,0,0,0,0
Pennsylvania,2014,20,132,18,6,18.18,13.64,4.55
Rhode Island,2014,20,X,0,X,X,X,X
South Carolina,2014,20,33,0,0,0,0,0
South Dakota,2014,20,56,0,7,12.5,0,12.5
Tennessee,2014,20,18,0,0,0,0,0
Texas,2014,20,505,5,25,5.94,0.99,4.95
Utah,2014,20,354,7,30,10.45,1.98,8.47
Vermont,2014,20,X,0,X,X,X,X
Virginia,2014,20,51,2,2,7.84,3.92,3.92
Washington,2014,20,169,3,1,2.37,1.78,0.59
West Virginia,2014,20,148,0,0,0,0,0
Wisconsin,2014,20,37,1,4,13.51,2.7,10.81
Wyoming,2014,20,X,0,X,X,X,X
Puerto Rico,2014,20,17,9,3,70.59,52.94,17.65
Virgin Islands,2014,20,0,0,0,0,X,X
New York City,2014,20,X,0,X,X,X,X
